   0.9999999   -0.0002104    0.0004462    0.0436770 ;   0.0002110    0.9999989   -0.0014756   -0.1255432 ;  -0.0004459    0.0014757    0.9999988    1.2833485 ;   0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999985   -0.0015882    0.0006426    0.0951478 ;   0.0015888    0.9999982   -0.0010717   -0.2569918 ;  -0.0006409    0.0010728    0.9999992    2.5828303 ;   0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999969   -0.0024537    0.0004672    0.1547426 ;   0.0024536    0.9999970    0.0001294   -0.3866585 ;  -0.0004675   -0.0001282    0.9999999    3.8784593 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999910   -0.0042514    0.0000213    0.2117436 ;   0.0042514    0.9999897    0.0016105   -0.5054422 ;  -0.0000281   -0.0016104    0.9999987    5.1032819 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999866   -0.0051698    0.0000332    0.2480921 ;   0.0051698    0.9999844    0.0021019   -0.6237049 ;  -0.0000441   -0.0021017    0.9999978    6.2887414 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999859   -0.0052966   -0.0003373    0.2949355 ;   0.0052970    0.9999850    0.0013782   -0.7353044 ;   0.0003300   -0.0013799    0.9999990    7.4611477 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999829   -0.0058417   -0.0002660    0.3382820 ;   0.0058421    0.9999818    0.0015100   -0.8508708 ;   0.0002572   -0.0015115    0.9999988    8.6272806 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999739   -0.0072247    0.0000728    0.3799218 ;   0.0072245    0.9999722    0.0018644   -0.9617733 ;  -0.0000862   -0.0018638    0.9999983    9.7378348 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999708   -0.0076356    0.0000229    0.4193057 ;   0.0076355    0.9999661    0.0030855   -1.0782764 ;  -0.0000465   -0.0030852    0.9999952   10.8352233 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
   0.9999570   -0.0092728    0.0000802    0.4613267 ;   0.0092725    0.9999518    0.0032286   -1.1798485 ;  -0.0001101   -0.0032277    0.9999948   11.9070976 ;  -0.0000000    0.0000000   -0.0000000    1.0000000 
