   0.9999995   -0.0009972   -0.0002842    0.0155890 ;   0.0009969    0.9999989   -0.0010533   -0.1344202 ;   0.0002853    0.0010530    0.9999994    1.1199559 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9999958   -0.0027922   -0.0007483    0.0367960 ;   0.0027915    0.9999956   -0.0009902   -0.2756081 ;   0.0007510    0.0009881    0.9999992    2.2371866 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9999902   -0.0043014   -0.0010238    0.0519564 ;   0.0043006    0.9999905   -0.0007756   -0.4161996 ;   0.0010271    0.0007711    0.9999992    3.3610574 ;   0.0000000   -0.0000000   -0.0000000    1.0000000 
   0.9999802   -0.0061592   -0.0012873    0.0670297 ;   0.0061581    0.9999807   -0.0008490   -0.5525651 ;   0.0012926    0.0008410    0.9999988    4.4776293 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999736   -0.0071003   -0.0015733    0.0808160 ;   0.0070987    0.9999743   -0.0010407   -0.6947529 ;   0.0015807    0.0010295    0.9999982    5.5943166 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9999677   -0.0078128   -0.0018983    0.0943706 ;   0.0078108    0.9999689   -0.0010928   -0.8303843 ;   0.0019068    0.0010780    0.9999976    6.7230340 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9999640   -0.0081884   -0.0022430    0.1064289 ;   0.0081869    0.9999663   -0.0006660   -0.9728595 ;   0.0022484    0.0006476    0.9999973    7.8444001 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999720   -0.0068909   -0.0029344    0.1196976 ;   0.0068911    0.9999763    0.0000328   -1.1049642 ;   0.0029341   -0.0000530    0.9999957    8.9543949 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999793   -0.0053453   -0.0035756    0.1299242 ;   0.0053490    0.9999852    0.0010348   -1.2442070 ;   0.0035700   -0.0010539    0.9999931   10.0710273 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999864   -0.0035732   -0.0037961    0.1388120 ;   0.0035677    0.9999926   -0.0014492   -1.3851192 ;   0.0038012    0.0014356    0.9999917   11.1912567 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999902   -0.0008888   -0.0043257    0.1399075 ;   0.0008790    0.9999970   -0.0022719   -1.5264702 ;   0.0043277    0.0022680    0.9999881   12.2867346 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999874    0.0008021   -0.0049537    0.1441031 ;  -0.0008225    0.9999912   -0.0041174   -1.6595805 ;   0.0049503    0.0041214    0.9999793   13.3899575 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9999785    0.0032295   -0.0056998    0.1476624 ;  -0.0032402    0.9999930   -0.0018667   -1.7933985 ;   0.0056938    0.0018851    0.9999820   14.5099858 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999715    0.0034476   -0.0067228    0.1524549 ;  -0.0034315    0.9999912    0.0024019   -1.9332316 ;   0.0067310   -0.0023788    0.9999745   15.6379755 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999644    0.0023068   -0.0081132    0.1625877 ;  -0.0022626    0.9999826    0.0054516   -2.0658934 ;   0.0081257   -0.0054330    0.9999522   16.7656915 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999464    0.0025152   -0.0100392    0.1738633 ;  -0.0024661    0.9999849    0.0049009   -2.2018472 ;   0.0100514   -0.0048758    0.9999376   17.8969077 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999306    0.0016681   -0.0116634    0.1746869 ;  -0.0016517    0.9999976    0.0014133   -2.3376149 ;   0.0116657   -0.0013939    0.9999310   19.0173936 ;   0.0000000   -0.0000000    0.0000000    1.0000000 
   0.9999083    0.0008943   -0.0135097    0.1731916 ;  -0.0009341    0.9999952   -0.0029461   -2.4745778 ;   0.0135070    0.0029584    0.9999044   20.1396984 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9998760    0.0014065   -0.0156821    0.1794872 ;  -0.0014867    0.9999859   -0.0051064   -2.6166760 ;   0.0156747    0.0051291    0.9998640   21.2462485 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9998349    0.0040408   -0.0177144    0.1777867 ;  -0.0041401    0.9999759   -0.0055710   -2.7537630 ;   0.0176915    0.0056434    0.9998276   22.3696184 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9997823    0.0076421   -0.0194143    0.1627278 ;  -0.0077376    0.9999583   -0.0048507   -2.9018146 ;   0.0193764    0.0049999    0.9997998   23.4852549 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9997415    0.0088062   -0.0209615    0.1468497 ;  -0.0088931    0.9999522   -0.0040566   -3.0386368 ;   0.0209248    0.0042420    0.9997721   24.5846786 ;   0.0000000    0.0000000    0.0000000    1.0000000 
   0.9996894    0.0107509   -0.0224819    0.1339076 ;  -0.0108265    0.9999361   -0.0032424   -3.1820641 ;   0.0224457    0.0034848    0.9997420   25.6888047 ;   0.0000000    0.0000000    0.0000000    1.0000000 
